"","county_name.x","cases_per_1000","deaths_per_1000","death_per_case","percent_employed_agriculture_forestry_fishing_hunting_mining","percent_employed_arts_entertainment_recreation_accommodation_food","percent_employed_construction","percent_employed_education_health_social","percent_employed_finance_insurance_real_estate","percent_employed_information","percent_employed_manufacturing","percent_employed_other_services_not_public_admin","percent_employed_public_administration","percent_employed_retail_trade","percent_employed_science_management_admin_waste","percent_employed_transportation_warehousing_utilities","percent_employed_wholesale_trade","percent_unemployed"
"48","Concho County",63.5044064282011,1.03680663556247,0.0163265306122449,0.0578019699326076,0.0158113011923276,0.0212545360290306,0.0567651632970451,0.0132192846034215,0.0046656298600311,0.00518403317781234,0.0246241575946086,0.0368066355624676,0.0142560912389839,0.00959046137895283,0.00440642820114049,0.000777604976671851,0.00103680663556247
"49","Cooke County",71.8308416956789,1.22875281589187,0.0171062009978617,0.0393712881425353,0.063920745443375,0.0253174278107721,0.0936156051607618,0.0176633217284456,0.0042750358386238,0.0824032357157485,0.0234231005529388,0.0179705099324186,0.0462062256809339,0.0291316813434364,0.0267253737456482,0.00929244317018227,0.0261877943886955
"50","Coryell County",56.8730380648395,0.593526603181303,0.0104359925788497,0.00320504365717903,0.0287794455142578,0.0222110844390514,0.0698778654145454,0.0143237753567754,0.00399641246142077,0.0143633437969875,0.0157086707641985,0.0486559919807961,0.0373130391199979,0.0290696140758131,0.013994038355008,0.00589569759160094,0.0338705848215463
"51","Cottle County",117.489986648865,4.67289719626168,0.0397727272727273,0.0881174899866489,0.0180240320427236,0.0467289719626168,0.106809078771696,0.0267022696929239,0.00133511348464619,0.00267022696929239,0.0320427236315087,0.0400534045393858,0.0373831775700935,0.0166889185580774,0.0153538050734312,0.00267022696929239,0.0520694259012016
"52","Crane County",100.70306038048,2.27460711331679,0.0225872689938398,0.139578163771712,0.0281224152191894,0.0310173697270471,0.0705128205128205,0.0076509511993383,0.0033085194375517,0.0163358147229115,0.022125723738627,0.0248138957816377,0.0303970223325062,0.00971877584780811,0.0279156327543424,0.00682382133995037,0.011373035566584
"53","Crockett County",123.044838373306,3.38894681960375,0.0275423728813559,0.171793534932221,0.0234619395203337,0.0766423357664234,0.0993222106360793,0,0,0.0104275286757039,0.0151199165797706,0.0143378519290928,0.0159019812304484,0.00156412930135558,0.0232012513034411,0,0.0112095933263816
"54","Crosby County",64.9703138252757,3.73197625106022,0.0574412532637076,0.0634435962680237,0.0261238337574215,0.0374893977947413,0.110602205258694,0.0213740458015267,0.00356234096692112,0.0137404580152672,0.0232400339270568,0.0220525869380831,0.0493638676844784,0.0264631043256997,0.0111959287531807,0.0186598812553011,0.0354537743850721
"55","Culberson County",130.261408949934,1.77226406734603,0.0136054421768707,0.0731058927780239,0.0868409392999557,0.027027027027027,0.0886132033673017,0.00797518830305716,0.000886132033673017,0.00443066016836509,0.023482498892335,0.0327868852459016,0.0345591493132477,0.0314576871953921,0.0186087727071334,0.00177226406734603,0.024368630926008
"56","Dallam County",64.65935895657,2.77507978354378,0.0429184549356223,0.118773414735674,0.0656306368808103,0.032329679478285,0.0539753017899265,0.0101290412099348,0.00263632579436659,0.0377410850561954,0.0190092965172749,0.0295545996947412,0.0324684334674622,0.0252532260302484,0.0462050783960039,0.0120715970584154,0.0187317885389205
"57","Dallas County",91.9300230819293,0.961126677122952,0.0104549813532232,0.00345268988129126,0.0474580295610123,0.0472409630387432,0.0889220452995107,0.0421645842255329,0.0114547649432081,0.0425481728993622,0.0275145530565043,0.0111397442141389,0.0546404238204256,0.0697128335291764,0.0287859986607701,0.0155594380249611,0.0308128671078785
